time (s), xPos (in), yPos (in), yaw (deg), dist (in), vel (in/s), accel (in/s^2), yawRate (deg/s)
0,0,0,90,0,0,0,0
0.1,1.77636e-16,0.5,90,0.5,10,100,0
0.2,7.10543e-16,2,90,2,20,100,0
0.3,1.46175e-15,4.11445,90,4.11445,17.5815,-24.1849,0
0.4,0.0167036,5.40139,89.2564,5.40185,10,-75.8151,-7.43617
0.5,0.19546,6.38355,79.6849,6.40185,10,0,-95.7153
0.6,0.56643,7.31036,68.1855,7.40185,10,0,-114.993
0.7,1.11354,8.14538,56.7673,8.40185,10,0,-114.182
0.8,1.81617,8.85454,45.2646,9.40185,10,0,-115.027
0.9,2.64526,9.41061,33.8498,10.4018,10,0,-114.148
1,3.56861,9.79013,22.3438,11.4018,10,0,-115.061
1.1,4.54879,9.97945,10.9323,12.4018,10,0,-114.114
1.2,5.91102,9.99812,0.785057,13.7647,18.5185,85.1849,-101.473
1.3,8.06798,9.99911,0.0263624,15.9216,19.6894,11.7092,-7.58695
1.4,9.53692,9.99979,0.0263624,17.3906,9.68941,-100,-7.43988e-13
1.49689,10,10,0.0263624,17.86,0,0,0
