time (s), xPos (in), yPos (in), yaw (deg), dist (in), vel (in/s), accel (in/s^2), yawRate (deg/s)
0,0,0,90,0,0,0,0,
0.01,2.51215e-18,0.00707107,90,0.00707107,1,100,0,
0.02,7.10543e-18,0.02,90,0.02,2,100,0,
0.03,1.60367e-17,0.0451392,90,0.0451392,3,100,0,
0.04,2.84217e-17,0.08,90,0.08,4,100,0,
0.05,4.44267e-17,0.12505,90,0.12505,5,100,0,
0.06,6.39488e-17,0.18,90,0.18,6,100,0,
0.07,8.70505e-17,0.245026,90,0.245026,7,100,0,
0.08,1.13687e-16,0.32,90,0.32,8,100,0,
0.09,1.4389e-16,0.405015,90,0.405015,9,100,0,
0.1,1.77636e-16,0.5,90,0.5,10,100,0,
0.11,2.14943e-16,0.60501,90,0.60501,11,100,0,
0.12,2.55795e-16,0.72,90,0.72,12,100,0,
0.13,3.00207e-16,0.845007,90,0.845007,13,100,0,
0.14,3.48166e-16,0.98,90,0.98,14,100,0,
0.15,3.99682e-16,1.12501,90,1.12501,15,100,0,
0.16,4.54747e-16,1.28,90,1.28,16,100,0,
0.17,5.13369e-16,1.445,90,1.445,17,100,0,
0.18,5.7554e-16,1.62,90,1.62,18,100,0,
0.19,6.41266e-16,1.805,90,1.805,19,100,0,
0.2,7.10543e-16,2,90,2,20,100,0,
0.21,7.83374e-16,2.205,90,2.205,21,100,0,
0.22,8.59757e-16,2.42,90,2.42,22,100,0,
0.23,9.39694e-16,2.645,90,2.645,23,100,0,
0.24,1.02303e-15,2.87956,90,2.87956,23.5815,58.1509,0,
0.25,1.10503e-15,3.11038,90,3.11038,22.5815,-100,0,
0.26,1.18348e-15,3.33119,90,3.33119,21.5815,-100,0,
0.27,1.25837e-15,3.54201,90,3.54201,20.5815,-100,0,
0.28,1.32972e-15,3.74282,90,3.74282,19.5815,-100,0,
0.29,1.39751e-15,3.93363,90,3.93363,18.5815,-100,0,
0.3,1.46175e-15,4.11445,90,4.11445,17.5815,-100,0,
0.31,1.52243e-15,4.28526,90,4.28526,16.5815,-100,0,
0.32,1.57956e-15,4.44608,90,4.44608,15.5815,-100,0,
0.33,1.63314e-15,4.59689,90,4.59689,14.5815,-100,0,
0.34,1.68317e-15,4.73771,90,4.73771,13.5815,-100,0,
0.35,1.72965e-15,4.86852,90,4.86852,12.5815,-100,0,
0.36,1.77257e-15,4.98934,90,4.98934,11.5815,-100,0,
0.37,0.00154236,5.10015,89.2025,5.10016,10.5815,-100,-79.7485,
0.38,0.00458154,5.20178,88.2872,5.20185,10,-58.1509,-91.5326,
0.39,0.00919988,5.30167,87.3529,5.30185,10,0,-93.4247,
0.4,0.0167036,5.40139,85.6965,5.40185,10,0,-165.64,
0.41,0.0256186,5.50098,84.8847,5.50185,10,0,-81.1851,
0.42,0.0363777,5.6004,83.8235,5.60185,10,0,-106.116,
0.43,0.0497616,5.69949,82.3081,5.70185,10,0,-151.546,
0.44,0.0645475,5.79838,81.4962,5.80185,10,0,-81.1832,
0.45,0.0814066,5.89695,80.2941,5.90185,10,0,-120.212,
0.46,0.100624,5.99508,78.9196,6.00185,10,0,-137.452,
0.47,0.121229,6.09292,78.1078,6.10185,10,0,-81.1825,
0.48,0.144124,6.19027,76.7647,6.20185,10,0,-134.307,
0.49,0.169107,6.28709,75.5311,6.30185,10,0,-123.356,
0.5,0.19546,6.38355,74.7193,6.40185,10,0,-81.183,
0.51,0.224304,6.4793,73.2353,6.50185,10,0,-148.402,
0.52,0.254966,6.57447,72.1427,6.60185,10,0,-109.261,
0.53,0.286975,6.6692,71.3308,6.70185,10,0,-81.1846,
0.54,0.321659,6.76299,69.7059,6.80185,10,0,-162.496,
0.55,0.357891,6.85619,68.7542,6.90185,10,0,-95.1649,
0.56,0.395447,6.94887,67.9412,7.00185,10,0,-81.3057,
0.57,0.435837,7.04035,66.1777,7.10185,10,0,-176.352,
0.58,0.477515,7.13124,65.3658,7.20185,10,0,-81.1873,
0.59,0.520705,7.22143,64.4118,7.30185,10,0,-95.4017,
0.6,0.56643,7.31036,62.7892,7.40185,10,0,-162.259,
0.61,0.613407,7.39862,61.9773,7.50185,10,0,-81.1845,
0.62,0.662067,7.48599,60.8824,7.60185,10,0,-109.498,
0.63,0.712967,7.57206,59.4007,7.70185,10,0,-148.165,
0.64,0.765079,7.65739,58.5889,7.80185,10,0,-81.1829,
0.65,0.819026,7.74159,57.3529,7.90185,10,0,-123.593,
0.66,0.874922,7.8245,56.0122,8.00185,10,0,-134.07,
0.67,0.931989,7.90661,55.2004,8.10185,10,0,-81.1825,
0.68,0.991016,7.98733,53.8235,8.20185,10,0,-137.688,
0.69,1.05171,8.06679,52.6238,8.30185,10,0,-119.975,
0.7,1.11354,8.14538,51.8119,8.40185,10,0,-81.1832,
0.71,1.17742,8.22232,50.2941,8.50185,10,0,-151.783,
0.72,1.24271,8.29805,49.2353,8.60185,10,0,-105.879,
0.73,1.30907,8.37285,48.4235,8.70185,10,0,-81.1851,
0.74,1.37757,8.44571,46.7647,8.80185,10,0,-165.877,
0.75,1.44722,8.51745,45.8469,8.90185,10,0,-91.7831,
0.76,1.51793,8.58816,45,9.00185,10,0,-84.6875,
0.77,1.59074,8.6567,43.2703,9.10185,10,0,-172.971,
0.78,1.66451,8.7242,42.4584,9.20185,10,0,-81.1865,
0.79,1.73944,8.79042,41.4706,9.30185,10,0,-98.7835,
0.8,1.81617,8.85454,39.8818,9.40185,10,0,-158.878,
0.81,1.8938,8.91756,39.07,9.50185,10,0,-81.184,
0.82,1.97266,8.97904,37.9412,9.60185,10,0,-112.879,
0.83,2.05305,9.03851,36.4933,9.70185,10,0,-144.784,
0.84,2.13427,9.09684,35.6815,9.80185,10,0,-81.1827,
0.85,2.21677,9.15335,34.4118,9.90185,10,0,-126.975,
0.86,2.30053,9.20796,33.1049,10.0018,10,0,-130.689,
0.87,2.38506,9.26138,32.2931,10.1018,10,0,-81.1826,
0.88,2.47088,9.31271,30.8824,10.2018,10,0,-141.07,
0.89,2.55772,9.36228,29.7164,10.3018,10,0,-116.593,
0.9,2.64526,9.41061,28.9046,10.4018,10,0,-81.1836,
0.91,2.73408,9.45656,27.3529,10.5018,10,0,-155.164,
0.92,2.82369,9.5009,26.328,10.6018,10,0,-102.497,
0.93,2.91394,9.54398,25.5161,10.7018,10,0,-81.1857,
0.94,3.00542,9.58437,23.8235,10.8018,10,0,-169.258,
0.95,3.0975,9.62334,22.9395,10.9018,10,0,-88.4013,
0.96,3.19018,9.6609,22.0588,11.0018,10,0,-88.0692,
0.97,3.28393,9.69569,20.3629,11.1018,10,0,-169.59,
0.98,3.37815,9.72915,19.5511,11.2018,10,0,-81.1858,
0.99,3.47297,9.76093,18.5294,11.3018,10,0,-102.165,
1,3.56861,9.79013,16.9744,11.4018,10,0,-155.497,
1.01,3.66464,9.81796,16.1626,11.5018,10,0,-81.1836,
1.02,3.76123,9.84384,15,11.6018,10,0,-116.261,
1.03,3.85843,9.86733,13.586,11.7018,10,0,-141.402,
1.04,3.95595,9.88944,12.7742,11.8018,10,0,-81.1826,
1.05,4.05395,9.90932,11.4706,11.9018,10,0,-130.357,
1.06,4.15236,9.92703,10.1975,12.0018,10,0,-127.307,
1.07,4.25101,9.94333,9.38569,12.1018,10,0,-81.1827,
1.08,4.35005,9.95715,7.94118,12.2018,10,0,-144.451,
1.09,4.44934,9.969,6.80906,12.3018,10,0,-113.211,
1.1,4.54879,9.97945,5.99722,12.4018,10,0,-81.184,
1.11,4.64849,9.98714,4.41176,12.5018,10,0,-158.546,
1.12,4.74965,9.99317,3.41027,12.6032,10.5185,51.8491,-100.149,
1.13,4.85973,9.99763,2.32107,12.7134,11.5185,100,-108.921,
1.14,4.97992,9.99769,0.0263624,12.8336,12.5185,100,-229.471,
1.15,5.1101,9.99775,0.0263624,12.9638,13.5185,100,1.07903e-11,
1.16,5.25029,9.99781,0.0263624,13.1039,14.5185,100,-9.62563e-12,
1.17,5.40047,9.99788,0.0263624,13.2541,15.5185,100,-1.15429e-12,
1.18,5.56065,9.99796,0.0263624,13.4143,16.5185,100,1.72744e-11,
1.19,5.73084,9.99804,0.0263624,13.5845,17.5185,100,6.9833e-12,
1.2,5.91102,9.99812,0.0263624,13.7647,18.5185,100,-4.68792e-11,
1.21,6.10121,9.99821,0.0263624,13.9549,19.5185,100,4.08985e-11,
1.22,6.30139,9.9983,0.0263624,14.155,20.5185,100,-2.32432e-11,
